timestamp,cycle,signals,cash,total_value,unrealized_pnl,realized_pnl,total_pnl,positions,drawdown_pct
2026-07-09T20:27:10.310229+00:00,1,0,100000.0,100000.0,0,0.0,0.0,0,0.0
2026-07-09T21:05:08.421321+00:00,2,0,100000.0,100000.0,0,0.0,0.0,0,0.0
2026-07-09T23:19:55.601439+00:00,3,2,100000.0,100000.0,0,0.0,0.0,0,0.0
2026-07-10T02:06:17.447705+00:00,4,0,100000.0,100000.0,0,0.0,0.0,0,0.0
2026-07-10T06:06:07.314817+00:00,5,0,100000.0,100000.0,0,0.0,0.0,0,0.0
