type,price,pnl,time
open_buy,1.1671,,2025-08-11 06:15:00
close_buy,1.16436,0.580000000000247,2025-08-11 13:00:00
open_sell,1.16436,,2025-08-11 13:00:00
close_sell,1.16157,-0.25999999999992696,2025-08-12 02:45:00
open_buy,1.16157,,2025-08-12 02:45:00
close_buy,1.16021,-0.700000000000145,2025-08-12 12:30:00
open_sell,1.16021,,2025-08-12 12:30:00
close_sell,1.16469,0.9600000000000719,2025-08-12 17:00:00
open_buy,1.16469,,2025-08-12 17:00:00
close_buy,1.16978,-0.6399999999997519,2025-08-13 21:15:00
open_sell,1.16978,,2025-08-13 21:15:00
close_sell,1.17127,0.08000000000008001,2025-08-14 04:15:00
open_buy,1.17127,,2025-08-14 04:15:00
close_buy,1.17029,-0.48000000000003595,2025-08-14 09:15:00
open_sell,1.17029,,2025-08-14 09:15:00
close_sell,1.16514,-0.48000000000003595,2025-08-15 03:45:00
open_buy,1.16514,,2025-08-15 03:45:00
close_buy,1.1700599999999999,0.4999999999997229,2025-08-18 05:45:00
open_sell,1.1700599999999999,,2025-08-18 05:45:00
close_sell,1.16794,-0.6599999999998829,2025-08-19 10:30:00
open_buy,1.16794,,2025-08-19 10:30:00
close_buy,1.16545,-0.8599999999998608,2025-08-19 19:15:00
open_sell,1.16545,,2025-08-19 19:15:00
close_sell,1.16407,-0.5399999999999849,2025-08-20 12:15:00
open_buy,1.16407,,2025-08-20 12:15:00
close_buy,1.16499,0.05999999999994898,2025-08-21 01:00:00
open_sell,1.16499,,2025-08-21 01:00:00
close_sell,1.1654200000000001,1.0199999999995768,2025-08-21 12:45:00
open_buy,1.1654200000000001,,2025-08-21 12:45:00
close_buy,1.16273,1.3600000000000279,2025-08-21 17:00:00
open_sell,1.16273,,2025-08-21 17:00:00
close_sell,1.16092,-0.3599999999996939,2025-08-22 05:00:00
open_buy,1.16092,,2025-08-22 05:00:00
close_buy,1.15932,0.8199999999995988,2025-08-22 07:00:00
open_sell,1.15932,,2025-08-22 07:00:00
close_sell,1.16074,0.5799999999998029,2025-08-22 15:30:00
open_buy,1.16074,,2025-08-22 15:30:00
close_buy,1.16958,0.19999999999997797,2025-08-25 05:15:00
