timestamp,cycle,signals,cash,total_value,unrealized_pnl,realized_pnl,total_pnl,positions,drawdown_pct
2026-06-24T14:41:17.387319+00:00,1,0,5000.0,5000.0,0,0.0,0.0,0,0.0
2026-06-24T14:41:21.970767+00:00,2,0,5000.0,5000.0,0,0.0,0.0,0,0.0
2026-06-24T14:41:26.598880+00:00,3,0,5000.0,5000.0,0,0.0,0.0,0,0.0
2026-06-24T14:41:31.207912+00:00,4,0,5000.0,5000.0,0,0.0,0.0,0,0.0
2026-06-24T14:41:35.823229+00:00,5,0,5000.0,5000.0,0,0.0,0.0,0,0.0
2026-06-24T14:41:40.480430+00:00,6,0,5000.0,5000.0,0,0.0,0.0,0,0.0
2026-06-24T14:41:45.146803+00:00,7,0,5000.0,5000.0,0,0.0,0.0,0,0.0
2026-06-24T16:03:36.009921+00:00,8,0,10000.0,10000.0,0,0.0,0.0,0,0.0
2026-06-24T17:03:39.443297+00:00,9,0,10000.0,10000.0,0,0.0,0.0,0,0.0
2026-06-24T18:03:42.583479+00:00,10,0,10000.0,10000.0,0,0.0,0.0,0,0.0
2026-06-24T19:03:46.576039+00:00,11,0,10000.0,10000.0,0,0.0,0.0,0,0.0
2026-06-24T20:04:00.950514+00:00,12,0,10000.0,10000.0,0,0.0,0.0,0,0.0
